Start Depth,End Depth,Facies Class Name
2208,2208.0924651787213,nc
2208.0926329921126,2208.113274039268,sh
2208.113442,2208.136264473905,ih
2208.1364322872964,2208.5937237791577,s
2208.593891592549,2208.641550595737,nc
2208.641718409129,2208.691391173016,sh
2208.691558986407,2208.732841080718,s
2208.733009,2209.0327236113444,nc
2209.032891424736,2209.070649437825,sh
2209.070817251217,2209.11126,ih
2209.111428091962,2209.268333613022,s
2209.268501426414,2209.432790736701,sh
2209.4329585500923,2209.4574593052525,is
2209.4576271186443,2209.819600604128,s
2209.819768,2209.8491357610337,sh
2209.849303574425,2209.861386138614,ih
2209.8615539520056,2209.884544386642,s
2209.8847122000334,2209.901661352576,is
2209.9018291659672,2209.937405604968,sh
2209.9375734183586,2210.069810370868,nc
2210.069978184259,2210.2471891256923,s
2210.247356939084,2210.272529,sh
2210.2726967612016,2210.4254069474746,ih
2210.425574760866,2210.5114952173185,sh
2210.5116630307098,2210.536164,ih
2210.5363315992618,2210.5660345695587,sh
2210.566202,2210.6152038932705,is
2210.6153717066622,2210.649941265313,s
2210.6501090787046,2210.7516361805674,is
2210.7518039939587,2210.7826816579964,s
2210.782849471388,2210.787883873133,is
2210.788051686525,2210.798120490015,s
2210.7982883034065,2210.831515354925,ih
2210.831683168317,2210.9473065950665,s
2210.9474744084578,2211.3060916261115,nc
2211.306259439504,2211.7705990938075,s
2211.7707669071992,2211.815740896124,ih
2211.815908709515,2211.869944621581,sh
2211.8701124349723,2211.930693069307,ih
2211.9308608826987,2212.017452592717,nc
2212.017620406109,2212.114448733009,s
2212.1146165464006,2212.1605974156737,sh
2212.1607652290654,2212.2179895955696,is
2212.2181574089614,2212.232924987414,s
2212.233092800805,2212.2611176371875,is
2212.261285450579,2212.285114952173,sh
2212.2852827655647,2212.299211,is
2212.299379090452,2212.337137103541,sh
2212.337304916932,2212.4039268333613,is
2212.404094646753,2212.424232253734,sh
2212.424400067125,2212.4436986071487,is
2212.4438664205404,2212.5297868769926,sh
2212.5299546903843,2212.5552945125023,ih
2212.5554623258936,2212.5646920624267,s
2212.564859875818,2212.7101862728646,sh
2212.7103540862563,2212.719919449572,ih
2212.720087262964,2212.7523074341334,sh
