Start Depth,End Depth,Facies Class Name
2214.2928343681824,2214.3349555294512,ih
2214.335123342843,2214.713206913912,os
2214.713374727304,2214.7447558315152,is
2214.744923644907,2214.9021647927507,s
2214.902332606142,2214.936230911226,ih
2214.9363987246184,2215.079543547575,nc
2215.0797113609665,2215.1067293169995,ih
2215.106897130391,2215.176539687868,is
2215.1767075012585,2215.1889578788387,ih
2215.1891256922304,2215.233931867763,is
2215.2340996811545,2215.610169491525,os
2215.610337304917,2215.680986742742,sh
2215.6811545561336,2215.767075012586,ih
2215.767242825977,2216.1057224366505,nc
2216.1058902500417,2216.157744588018,ih
2216.1579124014097,2216.1772109414333,sh
2216.1773787548245,2216.2064104715555,is
2216.206578284947,2216.2805839906023,s
2216.280751803994,2216.330928008056,sh
2216.3310958214465,2216.377077,s
2216.377244504112,2216.4353079375733,is
2216.435475750965,2216.703977177379,s
2216.704145,2216.7694244000672,ih
2216.7695922134585,2216.9540191307265,s
2216.954186944118,2217.0216479275045,nc
2217.0218157408963,2217.168820271858,s
2217.168988085249,2217.370196341668,ih
2217.370364,2217.392347709347,sh
2217.392515522739,2217.424400067125,is
2217.424567880517,2217.4676959221347,ih
2217.467863735526,2217.762040610841,os
2217.762208424232,2217.7962745427085,nc
2217.796442,2217.832522235274,sh
2217.832690048666,2217.873636516194,ih
2217.8738043295857,2218.028360463165,nc
2218.028528276556,2218.5907031381103,s
2218.590870951502,2218.6405437153885,ih
2218.640712,2218.8392347709346,s
2218.8394025843263,2219.029031716731,nc
2219.0291995301227,2219.343010572244,os
2219.3431783856354,2219.379761704984,nc
2219.379929518376,2219.7224366504447,os
2219.7226044638364,2220.0649437825136,nc
2220.0651115959054,2220.2013760698105,os
2220.201543883202,2220.7415673770765,nc
2220.7417351904683,2220.8120490015103,os
2220.8122168149016,2221.016445712368,nc
2221.016614,2221.4002349387483,os
2221.400403,2221.7098506460816,sh
2221.710018459473,2222.0236616882025,nc
2222.0238295015943,2222.956368518208,sh
2222.956536331599,2223.018459473066,nc
2223.0186272864576,2223.917771438161,sh
2223.917939251552,2224.047491189797,nc
2224.0476590031885,2224.4144990770264,sh
2224.4146668904177,2224.483134754153,ih
2224.483302567545,2224.940090619232,os
2224.940258432623,2225.0216479275045,nc
2225.0218157408963,2225.7140459808693,os
2225.714213794261,2226.0359120657827,nc
2226.0360798791744,2226.8078536667226,os
2226.808021480114,2226.931029,s
2226.9311965094817,2227.623594562846,nc
2227.6237623762377,2228.083738882363,s
2228.083906695754,2228.1317335123344,sh
2228.1319013257257,2228.218828662528,is
2228.218996475918,2228.313139788555,ih
2228.3133076019467,2228.971639536835,s
2228.9718073502268,2229.2918274878334,nc
2229.291995301225,2229.974324551099,os
2229.9744923644907,2230.018962913241,nc
2230.019130726632,2230.728477932539,os
2230.7286457459304,2231.024836381944,nc
2231.025004195335,2231.5265984225543,os
